,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,30581594,10088094,WHITE NIGHT,태양,247621,WAKE ME UP,R&B/Soul,"23,910",#좋은노래 #잔잔한 #밤 #감성
0,32720013,10451566,How You Like That,BLACKPINK,995169,How You Like That,댄스,"180,725",#회상 #스트레스 #운동 #좋아요10만
0,2318381,688654,Playing The Piano,Sakamoto Ryuichi,28481,Merry Christmas Mr. Lawrence,뉴에이지,"31,366",#뉴에이지 #새벽 #하트시그널BGM #하트시그널
0,2318380,688654,Playing The Piano,Sakamoto Ryuichi,28481,Amore,뉴에이지,"1,371",#우울 #감성 #발라드
0,30620447,10094491,스튜디오애니메이션 피아노 콘서트,,,이웃집 토토로 / となりのトトロ (이웃집 토토로 OST),뉴에이지,881,#동요 #애니ost #일본감성 #만화주제가
0,33315851,10570256,月色Chainon (달빛 Chainon) [Eternal반] (세일러 문),"세일러 문 (CV:Mitsuishi Kotono) , 세일러 머큐리 (CV:Kanemoto Hisako) , Momoiro Clover Z",868035 827354 570457,月色Chainon (달빛 Chainon) - 극장 애니메이션 「미소녀전사 세일러 문 Eternal」 주제가,"애니메이션/웹툰, J-POP",24,#JPOP #애니메이션
0,1756326,360025,Fall In Love With,Olivia Ong,175030,Close To You,J-POP,"16,305",#까페 #잔잔한 #팝송 #음색
0,1373945,325744,Good Night Vol.2,Fourplay,100276,Rozil,-,7,
0,1373941,325744,Good Night Vol.2,Bic Runga,32278,Honest Goodbyes,POP,24,#사랑 #설렘 #밤 #새벽
0,1373946,325744,Good Night Vol.2,Kenny G,2139,Havana,-,6,
0,1373948,325744,Good Night Vol.2,Sade,28744,Kiss Of Life,POP,4,
0,1373964,325744,Good Night Vol.2,Paul Winter & Ralph Towner,198653,The Silence Of A Candle,재즈,9,
0,4033699,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,His Smile (From 'Love Letter' Soundtrack),국외영화,"1,895",#까페 #겨울 #휴식
0,4033700,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,Childhood Days (From 'Love Letter' Soundtrack),국외영화,"3,548",#영화 #뉴에이지 #OST #동양
0,4033701,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,Flow In The Wind (From 'Love Letter' Soundtrack),국외영화,437,#OST #몽환적 #잠들기전
0,4033702,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,Letter Of No Return (From 'Love Letter' Soundtrack),국외영화,665,#밤 #가을 #엔딩곡 #뉴스룸
0,4033703,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,Sweet Rumors (From 'Love Letter' Soundtrack),국외영화,"1,160",#휴식 #겨울 #자장가 #숙면
0,4033708,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,He Loves You So (From 'Love Letter' Soundtrack),국외영화,"1,303",#휴식 #겨울 #첫사랑 #OST
0,4033706,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,Frozen Summer (From 'Love Letter' Soundtrack),국외영화,714,#사색 #독서 #영화음악
0,4033709,2175244,Love Letter (Original Movie Soundtrack),Remedios,12915,A Winter Story (From 'Love Letter' Soundtrack),국외영화,"13,373",#까페 #OST #휴식 #영화
