index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
6677,20210706,6677,2005,Reminiscence (Piano Solo Selection),Yuhki Kuramoto,Lake Louise,뉴에이지,"9,281",#뉴에이지 #집중 #공부 #힐링
6694,20210706,6694,2006,Lake Misty Blue,Yuhki Kuramoto,Lake Louis Ⅱ,뉴에이지,"3,361",#공부할_때_듣는_음악 #공부 #집중
9573,20210706,9573,781,소품집,플라워,Endless,록/메탈,"43,159",#2000년 #싸이월드 #추억 #2000년대
14776,20210706,14776,829,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,All I Want For Christmas Is You,R&B/Soul,"172,409",#캐럴 #감성 #팝송 #Pop
19807,20210706,19807,2393,Brown Eyes,브라운 아이즈,벌써 일년,R&B/Soul,"64,140",#2000년 #싸이월드 #이별 #그리움
23560,20210706,23560,2681,미궁,황병기,미궁,국악,"1,732",#국악 #밤 #무서운노래 #국악탑백
38667,20210706,38667,3022,Kim:Kyungho 1997,김경호,금지된 사랑,록/메탈,"19,569",#가요 #90년대 #노래방 #발라드
62614,20210706,62614,4360,가을 우체국 앞에서,윤도현,가을 우체국 앞에서,록/메탈,"14,498",#추억 #비긴어스 #비긴어게인 #회상
73737,20210706,73737,5242,Invitation,에메랄드 캐슬,발걸음,록/메탈,"45,050",#2000년 #싸이월드 #추억 #노래방
85674,20210706,85674,7874,Final Fantasy,스카이,영원,록/메탈,"26,226",#2000년 #싸이월드 #추억 #2000년대
89539,20210706,89539,6898,허허바다,장사익,댄서의 순정,국악,270,#국악 #도움 #국악음악 #국악탑백
104083,20210706,104083,8332,보내지 못한 편지,김광민,지금은 우리가 멀리 있을지라도,뉴에이지,"8,347",#이별 #밤 #그리움 #잔잔한
107041,20210706,107041,8419,백야 3.98 OST,Carol Kidd,When I Dream,재즈,"6,697",#팝 #추억 #재즈 #재즈탑백
144491,20210706,144491,185621,자연과 함께 듣는 행복 클래식 오르골,,봄의 노래 (멘델스존),클래식,63,#추억 #클래식 #봄 #잔잔한
