,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,33625988,바라만 본다,MSG워너비(M.O.M),장르종합,MSG워너비 1집,"83,316"
0,20210704,33487342,Next Level,aespa,장르종합,Next Level,"152,478"
0,20210704,33625989,나를 아는 사람,MSG워너비(정상동기),장르종합,MSG워너비 1집,"54,562"
0,20210704,33507137,Butter,방탄소년단,장르종합,Butter,"215,471"
0,20210704,33503722,헤픈 우연,헤이즈 (Heize),장르종합,HAPPEN,"119,321"
0,20210704,33589260,치맛바람 (Chi Mat Ba Ram),브레이브걸스,장르종합,Summer Queen,"75,354"
0,20210704,33464805,Dun Dun Dance,오마이걸 (OH MY GIRL),장르종합,Dear OHMYGIRL,"124,260"
0,20210704,33359317,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,장르종합,Justice,"175,046"
0,20210704,33480898,신호등,이무진,장르종합,신호등,"84,012"
0,20210704,30287019,롤린 (Rollin'),브레이브걸스,장르종합,Rollin',"280,337"
0,20210704,33559180,Alcohol-Free,TWICE (트와이스),장르종합,Taste of Love,"54,759"
0,20210704,33372781,라일락,아이유,장르종합,IU 5th Album 'LILAC',"202,353"
0,20210704,33397561,ASAP,STAYC(스테이씨),장르종합,STAYDOM,"106,907"
0,20210704,33589488,비와 당신,이무진,장르종합,슬기로운 의사생활 시즌2 OST Part 1,"46,177"
0,20210704,33527705,안녕 (Hello),조이 (JOY),장르종합,안녕 (Hello) - Special Album,"81,657"
0,20210704,32860397,운전만해 (We Ride),브레이브걸스,장르종합,We Ride,"122,322"
0,20210704,32872978,Dynamite,방탄소년단,장르종합,Dynamite (DayTime Version),"414,053"
0,20210704,33239419,Celebrity,아이유,장르종합,IU 5th Album 'LILAC',"290,567"
0,20210704,33510307,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",장르종합,MSG워너비 TOP 8 경연곡,"52,903"
0,20210704,33618271,하루만 더,빅마마,장르종합,하루만 더,"20,788"
0,20210704,33359725,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,장르종합,사이렌 Remix,"91,569"
0,20210704,",1944399",Timeless,SG 워너비,장르종합,Sg Wanna Be+,"94,635"
0,20210704,33632153,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),장르종합,비 오는 날 듣기 좋은 노래,"25,722"
0,20210704,",8130796",상상더하기,라붐 (LABOUM),장르종합,Fresh Adventure,"110,889"
0,20210704,",3414749",내 손을 잡아,아이유,장르종합,최고의 사랑 OST Part.4,"158,053"
0,20210704,33315511,멜로디,ASH ISLAND,장르종합,멜로디,"92,503"
0,20210704,33167063,밝게 빛나는 별이 되어 비춰줄게,송이한,장르종합,밝게 빛나는 별이 되어 비춰줄게,"83,090"
0,20210704,33645879,러브(Prod.로코베리),로꼬,장르종합,Love(Prod.Rocoberry),"11,724"
0,20210704,33061995,밤하늘의 별을(2020),경서,장르종합,밤하늘의 별을(2020),"155,785"
0,20210704,",1854856",라라라,SG 워너비,장르종합,My Friend,"79,476"
0,20210704,33447280,마.피.아. In the morning,ITZY (있지),장르종합,GUESS WHO,"54,810"
0,20210704,33331004,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,장르종합,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","94,555"
0,20210704,32962258,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,장르종합,Savage Love (Laxed - Siren Beat) [BTS Remix],"176,038"
0,20210704,32961718,Lovesick Girls,BLACKPINK,장르종합,THE ALBUM,"192,164"
