,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
0,20210706,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),바라만 본다,장르종합,"88,978",#인기순위 #일간순위 #장르종합
0,20210706,33487342,10609232,Next Level,aespa,Next Level,장르종합,"155,067",#인기순위 #일간순위 #장르종합
0,20210706,33507137,10612483,Butter,방탄소년단,Butter,장르종합,"216,929",#인기순위 #일간순위 #장르종합
0,20210706,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),나를 아는 사람,장르종합,"56,481",#인기순위 #일간순위 #장르종합
0,20210706,33503722,10611845,HAPPEN,헤이즈 (Heize),헤픈 우연,장르종합,"121,124",#인기순위 #일간순위 #장르종합
0,20210706,33589260,10631055,Summer Queen,브레이브걸스,치맛바람 (Chi Mat Ba Ram),장르종합,"76,877",#인기순위 #일간순위 #장르종합
0,20210706,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),Dun Dun Dance,장르종합,"125,112",#인기순위 #일간순위 #장르종합
0,20210706,33359317,10580103,Justice,Justin Bieber,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"175,989",#인기순위 #일간순위 #장르종합
0,20210706,33480898,10607796,신호등,이무진,신호등,장르종합,"89,082",#인기순위 #일간순위 #장르종합
0,20210706,33655994,10645654,Weekend,태연 (TAEYEON),Weekend,장르종합,"37,400",#인기순위 #일간순위 #장르종합
0,20210706,30287019,10043575,Rollin',브레이브걸스,롤린 (Rollin'),장르종합,"280,743",#인기순위 #일간순위 #장르종합
0,20210706,33559180,10623687,Taste of Love,TWICE (트와이스),Alcohol-Free,장르종합,"55,988",#인기순위 #일간순위 #장르종합
0,20210706,33372781,10554246,IU 5th Album 'LILAC',아이유,라일락,장르종합,"202,834",#인기순위 #일간순위 #장르종합
0,20210706,33397561,10589127,STAYDOM,STAYC(스테이씨),ASAP,장르종합,"107,745",#인기순위 #일간순위 #장르종합
0,20210706,32872978,10479150,Dynamite (DayTime Version),방탄소년단,Dynamite,장르종합,"414,330",#인기순위 #일간순위 #장르종합
0,20210706,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,비와 당신,장르종합,"47,988",#인기순위 #일간순위 #장르종합
0,20210706,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),안녕 (Hello),장르종합,"83,004",#인기순위 #일간순위 #장르종합
0,20210706,32860397,10476623,We Ride,브레이브걸스,운전만해 (We Ride),장르종합,"122,701",#인기순위 #일간순위 #장르종합
0,20210706,33239419,10554246,IU 5th Album 'LILAC',아이유,Celebrity,장르종합,"290,886",#인기순위 #일간순위 #장르종합
0,20210706,33618271,10636091,하루만 더,빅마마,하루만 더,장르종합,"23,200",#인기순위 #일간순위 #장르종합
0,20210706,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기,장르종합,"53,508",#인기순위 #일간순위 #장르종합
0,20210706,33359725,10580227,사이렌 Remix,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"92,437",#인기순위 #일간순위 #장르종합
0,20210706,1944399,399659,Sg Wanna Be+,SG 워너비,Timeless,장르종합,"94,987",#인기순위 #일간순위 #장르종합
0,20210706,8130796,2677681,Fresh Adventure,라붐 (LABOUM),상상더하기,장르종합,"111,446",#인기순위 #일간순위 #장르종합
0,20210706,33632153,10639807,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래 (Feat. Colde),장르종합,"28,860",#인기순위 #일간순위 #장르종합
0,20210706,3414749,1286252,최고의 사랑 OST Part.4,아이유,내 손을 잡아,장르종합,"158,434",#인기순위 #일간순위 #장르종합
