,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210711,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"101,184",#인기순위 #일간순위 #장르종합
0,20210711,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"161,361",#인기순위 #일간순위 #장르종합
0,20210711,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"221,897",#인기순위 #일간순위 #장르종합
0,20210711,33666269,10648182,Butter / Permission to Dance,방탄소년단,672375,Permission to Dance,장르종합,"103,777",#인기순위 #일간순위 #장르종합
0,20210711,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"102,292",#인기순위 #일간순위 #장르종합
0,20210711,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"124,860",#인기순위 #일간순위 #장르종합
0,20210711,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"59,854",#인기순위 #일간순위 #장르종합
0,20210711,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"59,193",#인기순위 #일간순위 #장르종합
0,20210711,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"79,951",#인기순위 #일간순위 #장르종합
0,20210711,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"127,201",#인기순위 #일간순위 #장르종합
0,20210711,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"177,876",#인기순위 #일간순위 #장르종합
0,20210711,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"281,809",#인기순위 #일간순위 #장르종합
0,20210711,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"59,455",#인기순위 #일간순위 #장르종합
0,20210711,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"416,604",#인기순위 #일간순위 #장르종합
0,20210711,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"204,316",#인기순위 #일간순위 #장르종합
0,20210711,33397561,10589127,STAYDOM,STAYC(스테이씨),2899290,ASAP,장르종합,"109,747",#인기순위 #일간순위 #장르종합
0,20210711,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,2138620,비와 당신,장르종합,"52,431",#인기순위 #일간순위 #장르종합
0,20210711,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),780922,안녕 (Hello),장르종합,"86,253",#인기순위 #일간순위 #장르종합
0,20210711,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),장르종합,"123,572",#인기순위 #일간순위 #장르종합
0,20210711,33239419,10554246,IU 5th Album 'LILAC',아이유,261143,Celebrity,장르종합,"291,807",#인기순위 #일간순위 #장르종합
0,20210711,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",2939206,상상더하기,장르종합,"55,058",#인기순위 #일간순위 #장르종합
0,20210711,33618271,10636091,하루만 더,빅마마,105803,하루만 더,장르종합,"26,548",#인기순위 #일간순위 #장르종합
0,20210711,33359725,10580227,사이렌 Remix,호미들,2754623,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"94,279",#인기순위 #일간순위 #장르종합
0,20210711,8130796,2677681,Fresh Adventure,라붐 (LABOUM),783462,상상더하기,장르종합,"113,123",#인기순위 #일간순위 #장르종합
0,20210711,1944399,399659,Sg Wanna Be+,SG 워너비,108363,Timeless,장르종합,"95,818",#인기순위 #일간순위 #장르종합
0,20210711,33315511,10570193,멜로디,ASH ISLAND,2112495,멜로디,장르종합,"94,653",#인기순위 #일간순위 #장르종합
0,20210711,3414749,1286252,최고의 사랑 OST Part.4,아이유,261143,내 손을 잡아,장르종합,"159,486",#인기순위 #일간순위 #장르종합
0,20210711,33668958,10648668,난 너를 사랑해,MSG워너비,2939206,난 너를 사랑해,장르종합,"10,049",#인기순위 #일간순위 #장르종합
0,20210711,33167063,10540298,밝게 빛나는 별이 되어 비춰줄게,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,장르종합,"84,458",#인기순위 #일간순위 #장르종합
