,날짜,번호,제목,가수,장르,앨범이름,좋아요,플레이리스트,노래_태그,멜론DJ,플레이리스트_번호
0,20210706,32620704,Poppin',백현 (BAEKHYUN),,Delight - The 2nd Mini Album,"61,418",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,",8176248",What Do I Do,티파니 (TIFFANY),,I Just Wanna Dance - The 1st Mini Album,"6,599",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33437613,Not For Sale,ENHYPEN,,BORDER : CARNIVAL,"5,251",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31423965,Better,핫샷 (HOTSHOT),,Early Flowering,"1,522",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30736438,봐 (Look),Red Velvet (레드벨벳),,Perfect Velvet - The 2nd Album,"29,253",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32543479,AURA,GOT7 (갓세븐),,DYE,"12,787",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32364511,Salty,더보이즈 (THE BOYZ),,THE BOYZ 1ST ALBUM [REVEAL],"23,686",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32302933,Bittersweet,드림노트 (DreamNote),,Dream Wish,709,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30736442,Attaboy,Red Velvet (레드벨벳),,Perfect Velvet - The 2nd Album,"17,510",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31055328,알고 싶어,(여자)아이들,,I am,"12,565",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32636659,MAKE ME GO,TWICE (트와이스),,MORE & MORE,"8,058",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31448493,Honest,키 (KEY),,FACE - The 1st Album,"8,038",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33408562,water color,휘인 (Whee In),,Redd,"23,272",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32559498,Stay Tonight,청하,,Stay Tonight,"47,244",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941215,Insanity,더보이즈 (THE BOYZ),,THE BOYZ 5th MINI ALBUM [CHASE],"17,532",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31817362,BREATHE,AB6IX (에이비식스),,B:COMPLETE,"61,125",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31297367,No One Else,GOT7 (갓세븐),,Present : YOU,"17,950",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32387968,새벽,드림캐쳐,,1st Album [Dystopia : The Tree of Language],"2,001",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32147119,New World,VICTON (빅톤),,nostalgia,"10,905",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32112916,Poppin' Star,투모로우바이투게더,,꿈의 장: MAGIC,"25,719",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32931709,Weather,프로미스나인,,My Little Society,"3,325",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32528371,Be Myself,Apink (에이핑크),,LOOK,"8,990",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31955740,CHERRY,ITZY (있지),,IT'z ICY,"9,074",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31754581,GIRLS LIKE US,TWICE (트와이스),,FANCY YOU,"11,053",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
