,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210708,33653442,10645018,"안녕, 여름밤",마인드유,"안녕, 여름밤",,"1,155",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31686908,10264857,밤수성,새벽공방,내(가) 너(를),,"2,949",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33516150,10614571,누가 봐도 연애 중,훈스 (HOONS),누가 봐도 연애 중,,993,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33422279,10594788,Beloved,소란 (SORAN),속삭여줘 (DANG!) (Feat. 몽자),,"2,776",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32858161,10476094,Balloon,오팔 (Oriental Palette),Balloon,,129,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32645580,10439332,물감,"공기남 , 고닥",물감 (feat. 1ho),,"2,908",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32906419,10486229,로코는 로코다 (roco is roco),로코베리,로코는 로코다 (roco is roco),,843,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32689879,10446194,ARTIST. 이민석,Anonymous Artists,예쁜 말 (Art. 이민석) (Prod. GC),,"6,627",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33341133,10575741,달라,최정윤,달라,,"1,278",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32961890,10498065,맥주 어때!,이아람,맥주 어때!,,"1,707",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33571543,10625857,유영,크르르,유영,,"1,154",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,30031487,10005186,Reborn,디에이드 (The Ade),알러지,,"1,666",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31867703,10297055,아름다웠던 날에,류석원,"너의 귓속말, 나의 거짓말",,96,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32926951,10490794,Dance with me baby,최정윤,Dance with me baby,,"2,838",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33162978,10539453,예쁘게 말하는 게,Chan,예쁘게 말하는 게,,"1,453",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32899744,10484949,요,우주히피,요,,351,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,30600339,10091139,말해버릴까,유지희,말해버릴까,,"1,658",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31689381,10265283,별 구름 바람 사랑,이오늘,별 구름 바람 사랑,,685,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31987653,10317802,Wonder,파랑망또,If you wonder (Feat. J.Yung),,631,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,30806239,10122843,두근두근,샤인이스트,"두근두근 (Feat. Yeony, 지수)",,985,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
