,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210712,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,,"55,837",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33589262,10631055,Summer Queen,브레이브걸스,531700,나 혼자 여름 (Summer by myself),,"11,096",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33507137,10612483,Butter,방탄소년단,672375,Butter,,"221,209",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,32860423,10476630,Not Shy,ITZY (있지),2622030,SURF,,"13,106",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33549028,10621353,DON'T FIGHT THE FEELING - Special Album,EXO,724619,훅! (No matter),,"32,723",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33559184,10623687,Taste of Love,TWICE (트와이스),905701,Baby Blue Love,,"4,850",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33466710,10605150,BINARY CODE,원어스 (ONEUS),2298864,BLACK MIRROR,,"4,694",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,,"126,844",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,32996476,10504833,SEVENTEEN Special Album '; [Semicolon]',세븐틴,861436,HEY BUDDY,,"38,552",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
0,20210712,33487221,10609206,Ring Ring,로켓펀치(Rocket Punch),2740955,Ring Ring,,"8,051",#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,484659152,#댄스 #레트로 #2020년대 #가요 #뉴트로 #디스코 #내적댄스 #신나는 #기분전환
